abbreviation,,similarity
《BMC Cancer》,BMC CANCER,100.00
„ÄäCancer Cell„Äã,CANCER CELL,100.00
„ÄäCancer Investigation„Äã,CANCER INVESTIGATION,100.00
„ÄäCancer Letters „Äã,CANCER LETTERS,100.00
„ÄäCancers„Äã,CANCERS,100.00
„ÄäClin Cancer Res„Äã,CLINICAL CANCER RESEARCH,78.79
„ÄäColorectal Cancer „Äã,COLORECTAL DISEASE,81.86
„ÄäGastric Cancer„Äã,GASTRIC CANCER,100.00
„ÄäMol Cancer Res„Äã,MOLECULES,44.44
„ÄäMolecular Cancer Therapeutics„Äã,MOLECULAR CANCER THERAPEUTICS,100.00
ANTICANCER RES.,ANTICANCER RESEARCH,100.00
Antisense: Chemical Modifications. Encyclopedia of Cancer,ANAESTHESIA AND INTENSIVE CARE,13.26
Asian Pac J Cancer Prev,ANTICANCER RESEARCH,51.27
BR CANCER,CANCER,93.06
Br J Cancer,CANCER,79.63
Br J Cancer,CANCER,79.63
BR. 1. CANCER,BMC CANCER,92.59
Br. J. Cancer,BMC CANCER,92.59
BR. J. CANCER,BMC CANCER,92.59
BR. J. CANCER,BMC CANCER,92.59
BREAST CANCER RES,BREAST CANCER RESEARCH,100.00
BREAST CANCER RES,BREAST CANCER RESEARCH,100.00
BREAST CANCER RES. TREAT.,BREAST CANCER RESEARCH,100.00
"BREAST CANCER RESEARCH, CURRENT MEDICINE GROUP LTD, GB",BREAST CANCER RESEARCH AND TREATMENT,63.91
Brit. J. Cancer,BREAST CANCER,80.05
BRITISH JOURNAL OF CANCER,BRITISH JOURNAL OF CANCER,100.00
British Journal of Cancer,BRITISH JOURNAL OF CANCER,100.00
BRITISH JOURNAL OF CANCER,BRITISH JOURNAL OF CANCER,100.00
BRITISH JOURNAL OF CANCER,BRITISH JOURNAL OF CANCER,100.00
"BRITISH JOURNAL OF CANCER, NATURE PUBLISHING GROUP, LONDON, GB",BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,48.62
CANCER,CANCER,100.00
CANCER,CANCER,100.00
CANCER,CANCER,100.00
CANCER,CANCER,100.00
CANCER AND METASTASIS REVIEWS,CANCER AND METASTASIS REVIEWS,100.00
CANCER BIOLOGY & THERAPY,CANCER BIOLOGY & THERAPY,100.00
CANCER BIOTHER. RADIOPHARM.,CANCER BIOLOGY & MEDICINE,59.21
Cancer Cell,CANCER CELL,100.00
CANCER CELL,CANCER CELL,100.00
CANCER CHEMOTHER. PHARMACOL.,CANCER CHEMOTHERAPY AND PHARMACOLOGY,86.87
CANCER CONTROL,CANCER CONTROL,100.00
CANCER DETECT PREV.,CANCER TREATMENT REVIEWS,61.93
CANCER DISCOV,CANCER DISCOVERY,100.00
Cancer Discovery,CANCER DISCOVERY,100.00
CANCER DISCOVERY,CANCER DISCOVERY,100.00
Cancer Discovery,CANCER DISCOVERY,100.00
CANCER EPIDEMIOL BIOMARKERS PREV,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,84.21
"CANCER EPIDEMIOLOGY, BIOMARKERS AND PREVENTION.",CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,100.00
CANCER GENE THER,CANCER GENE THERAPY,100.00
Cancer Genet Cytogenet,CANCER GENE THERAPY,72.35
Cancer Genetics and Cytogenetics,CYTOGENETIC AND GENOME RESEARCH,64.86
Cancer Imaging,CANCER IMAGING,100.00
CANCER IMMUNOL. IMMUNOTHER.,CANCER IMMUNOLOGY IMMUNOTHERAPY,88.51
CANCER IMMUNOL. IMMUNOTHER.,CANCER IMMUNOLOGY IMMUNOTHERAPY,88.51
CANCER IMMUNOL. IMMUNOTHER.,CANCER IMMUNOLOGY IMMUNOTHERAPY,88.51
"CANCER IMMUNOLOGY AND IMMUNOTHERAPY, SPRINGER-VERLAG, BERLIN, DE",CANCER IMMUNOLOGY IMMUNOTHERAPY,41.63
CANCER IMMUNOLOGY RESEARCH,CANCER IMMUNOLOGY RESEARCH,100.00
"CANCER IMMUNOLOGY, IMMUNOTHERAPY, SPRINGER, BERLIN, DE",CANCER IMMUNOLOGY IMMUNOTHERAPY,78.65
Cancer Investigation (Genitourinary Cancer),CLINICAL GENITOURINARY CANCER,70.44
Cancer J,CANCER,100.00
Cancer Letter,CANCER LETTERS,100.00
Cancer Letters,CANCER LETTERS,100.00
CANCER LETTERS,CANCER LETTERS,100.00
CANCER LETTERS 30 AUG 2004 LNKD- PUBMED:15279905,CANCER RESEARCH AND TREATMENT,20.77
"CANCER LETTERS, NEW YORK, NY, US",CANCER TREATMENT REVIEWS,49.62
"Cancer Medicine, John Wiley & Sons Ltd., GB",CANCER CELL INTERNATIONAL,36.01
CANCER METASTASIS REV,CANCER AND METASTASIS REVIEWS,89.74
CANCER RES,CANCER RESEARCH,95.24
Cancer Res,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
Cancer Res,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
Cancer Res,CANCER RESEARCH,95.24
Cancer Res,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
CANCER RES,CANCER RESEARCH,95.24
Cancer Res.,CANCER RESEARCH,95.24
Cancer Res.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
Cancer Res.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
Cancer Res.,CANCER RESEARCH,95.24
Cancer Res.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
Cancer Res.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
CANCER RES.,CANCER RESEARCH,95.24
"CANCER RES. (1994), 54(10), 2643-9 CODEN: CNREA8;ISSN: 0008-5472",CANCER RESEARCH AND TREATMENT,20.06
CANCER RESEARCH,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
Cancer Research,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
Cancer Research,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
Cancer Research,CANCER RESEARCH,100.00
CANCER RESEARCH,CANCER RESEARCH,100.00
"CANCER RESEARCH , 18, 445-56 CODEN: CNREA8; ISSN: 0008-5472",CANCER RESEARCH AND TREATMENT,37.65
Cancer Research [on line],CANCER RESEARCH,87.38
"CANCER RESEARCH, (01 JUN 1995) VOL. 55, NO. 11, PP. 2484.",CANCER RESEARCH AND TREATMENT,42.85
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, BALTIMORE, MD",AMERICAN JOURNAL OF CANCER RESEARCH,25.22
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, BALTIMORE, MD",AMERICAN JOURNAL OF CANCER RESEARCH,25.22
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, US",AMERICAN JOURNAL OF CANCER RESEARCH,40.20
CANCER RESEARCH. 15 APR 2004,CANCER RESEARCH AND TREATMENT,77.03
CANCER SCI.,CANCER SCIENCE,100.00
Cancer Therapy: Molecular Tumor. Horizon Bioscience,CELLULAR AND MOLECULAR LIFE SCIENCES,39.11
CANCER TREAT REP,CANCER RESEARCH,71.43
"CANCER TREATMENT REVIEWS, ELSEVIER, AMSTERDAM, NL",CANCER TREATMENT REVIEWS,57.39
"CANCER, AMERICAN CANCER SOCIETY, PHILADELPHIA, PA, US",AMERICAN CERAMIC SOCIETY BULLETIN,39.66
Clin Cancer Res,CLINICAL CANCER RESEARCH,78.79
CLIN CANCER RES,CLINICAL CANCER RESEARCH,78.79
Clin Cancer Res,CLINICAL CANCER RESEARCH,78.79
Clin Cancer Res,CLINICAL CANCER RESEARCH,78.79
Clin Cancer Res,CLINICAL CANCER RESEARCH,78.79
CLIN CANCER RES.,CLINICAL CANCER RESEARCH,78.79
Clin Cancer Res.,CLINICAL CANCER RESEARCH,78.79
CLIN LUNG CANCER,CLINICAL LUNG CANCER,94.44
CLIN. CANCER RES,CLINICAL CANCER RESEARCH,78.79
Clin. Cancer Res.,CLINICAL CANCER RESEARCH,78.79
CLIN. CANCER RES.,CLINICAL CANCER RESEARCH,78.79
CLINICAL CANCER RES.,CLINICAL CANCER RESEARCH,100.00
CLINICAL CANCER RESEARCH,CLINICAL CANCER RESEARCH,100.00
CLINICAL CANCER RESEARCH,CLINICAL CANCER RESEARCH,100.00
CLINICAL CANCER RESEARCH,CLINICAL CANCER RESEARCH,100.00
CLINICAL CANCER RESEARCH,CLINICAL CANCER RESEARCH,100.00
CLINICAL CANCER RESEARCH,CLINICAL CANCER RESEARCH,100.00
CLINICAL CANCER RESEARCH : AN OFFICIAL JOURNAL OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH,CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,38.67
CLINICAL CANCER RESEARCH : AN OFFICIAL JOURNAL OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH 1 MAR 2004,CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,30.45
"CLINICAL CANCER RESEARCH, THE AMERICAN ASSOCIATION FOR CANCER RESEARCH",CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,41.95
CURRENT CANCER DRUG TARGETS,CURRENT CANCER DRUG TARGETS,100.00
"CURRENT PROBLEMS IN CANCER, MOSBY, ST LOUIS, MO, US",CURRENT PROBLEMS IN CANCER,68.26
DAI 18 KAI GAKUJUTSU SHUKAI PROGRAM SHOROKUSHU THE JAPANESE ASSOCIATION FOR MOLECULAR TARGET THERAPY OF CANCER,CANADIAN JOURNAL OF OCCUPATIONAL THERAPY-REVUE CANADIENNE D ERGOTHERAPIE,22.13
ENDOCR RELAT CANCER,ENDOCRINE-RELATED CANCER,75.76
Eur. J. Cancer,EUROPACE,53.33
European Journal of Cancer,EUROPEAN JOURNAL OF CANCER,100.00
"EUROPEAN JOURNAL OF CANCER SUPPLEMENTS, PROCEEDINGS OF THE 16TH EORTC-NCI-AACR SYMPOSIUM ON MOLECULAR TARGETS AND CANCER THERAPEUTICS",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-TOXICOLOGY AND CARCINOGENESIS,22.66
"EUROPEAN JOURNAL OF CANCER. SUPPLEMENT, PERGAMON, OXFORD, GB",EUROPEAN JOURNAL OF CANCER PREVENTION,65.84
"EUROPEAN JOURNAL OF CANCER. SUPPLEMENT, PERGAMON, OXFORD, GB",EUROPEAN JOURNAL OF CANCER PREVENTION,65.84
Expert Rev. Anticancer,EXPERT REVIEW OF VACCINES,70.26
Expert Rev. Anticancer Ther.,EXPERT REVIEW OF ANTICANCER THERAPY,87.10
HCANCER IMMUNOL IMMUNOTHER.H,IMMUNOLOGY LETTERS,37.25
INI J CANCER.,IEEE ACCESS,36.67
Int J Cancer,INTERCIENCIA,60.56
INT J CANCER,INTERCIENCIA,60.56
INT J CANCER,INTERCIENCIA,60.56
INT J CANCER.,INTERCIENCIA,60.56
INT. J. CANCER,INTERCIENCIA,60.56
INT. J. CANCER,INTERCIENCIA,60.56
INT. J. CANCER,INTERCIENCIA,60.56
INTEGRATIVE CANCER THERAPIES,INTEGRATIVE CANCER THERAPIES,100.00
INTERNATIONAL JOURNAL OF CANCER,INTERNATIONAL JOURNAL OF CANCER,100.00
INTERNATIONAL JOURNAL OF CANCER,INTERNATIONAL JOURNAL OF CANCER,100.00
INTERNATIONAL JOURNAL OF CANCER,INTERNATIONAL JOURNAL OF CANCER,100.00
International Journal of Cancer,INTERNATIONAL JOURNAL OF CANCER,100.00
"INTERNATIONAL JOURNAL OF CANCER, JOHN WILEY & SONS, INC, US",INTERNATIONAL JOURNAL OF REMOTE SENSING,71.72
J Cancer Res Clin Oncol.,JCO PRECISION ONCOLOGY,54.47
J NATL CANCER INST,ENDOCRINE,20.74
J NATL CANCER INST,ENDOCRINE,20.74
J Natl Cancer Inst,ENDOCRINE,20.74
JAPANESE JOURNAL OF CANCER RESEARCH,JAPANESE JOURNAL OF VETERINARY RESEARCH,87.37
JOURNAL OF CANCER,JOURNAL OF CANCER,100.00
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,100.00
JOURNAL OF NATIONAL CANCER INSTITUTE.,JNCI-JOURNAL OF THE NATIONAL CANCER INSTITUTE,99.15
JOURNAL OF THE NATIONAL CANCER INSTITUTE 16 JUN 2010 LNKD- PUBMED:20463307,JOURNAL OF THE JAPAN INSTITUTE OF METALS AND MATERIALS,40.77
Jpn. J. Cancer Res.,ENDOCRINE RESEARCH,43.29
LIPOSOMES IN THE THARAPY OF INFECTIOUS DISEASE ANDCANCER,OPEN FORUM INFECTIOUS DISEASES,38.90
LUNG CANCER,LUNG CANCER,100.00
MOL CANCER THER,LANCET HIV,47.01
MOLECULAR CANCER THERAPEUTICS,MOLECULAR CANCER THERAPEUTICS,100.00
MOLECULAR CANCER THERAPEUTICS,MOLECULAR CANCER THERAPEUTICS,100.00
"Molecular Diagnosis of Cancer, Methods and Protocols, 2nd ed.;",MOLECULAR CANCER THERAPEUTICS,27.43
NAT. REV. CANCER,NATURE CANCER,88.89
Nat. Rev. Cancer,NATURE CANCER,88.89
NAT. REV. CANCER,NATURE CANCER,88.89
NAT. REV. CANCER,NATURE CANCER,88.89
NATURE REVIEWS. CANCER,NATURE REVIEWS CANCER,100.00
PROC. AMER ASSOC. CANCER RES. MEETING ABSTRACTS,PROCEEDINGS OF THE COMBUSTION INSTITUTE,34.96
PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,70.13
PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH ANNUAL MEETING,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,56.48
PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH ANNUAL MEETING,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,56.48
